id,label_en
Q88359,Ἀρταξέρξης
Q88399,Ὑδάρνης I
Q88425,Περδίκκας
Q88437,Ἄτοσσα
Q88461,Ἀλέξανδρος
Q88471,Ὑστάσπης
Q88503,Αμύντας
Q88511,Ἀρσάμης
Q88533,Ἀλκέτας
Q88563,Ἀέροπος
Q88593,Φίλιππος
Q88621,Ἀργαῖος
Q88659,Περδίκκας
Q88671,Γύγης
Q88687,Τυρίμμας
Q88702,Δάσκυλος
Q88716,Κοῖνος
Q88730,Κάρανος
Q88788,Τέμενος
Q88794,Ἀριστόμαχος
Q88921,Tethys  Τηθύς
Q88997,Αἴολος
Q89040,Πύρρα
Q89042,Δευκαλίων
Q89154,Πλειόνη
Q90315,Πλειόνη
Q90345,Αυτόλυκος
Q90347,Αμφιθέα
Q90364,Κασσιόπεια
Q90450,Πύρρα
Q90490,Αἴολος
Q90496,Ἐρεχθεύς
Q90498,Πραξιθέα
Q90500,Κέκροψ
Q90548,Πανδίων
Q90588,Ἐρεχθόνιος
Q90699,Γάιος Ἰούλιος Ἀντίοχος
Q90836,Ἀμύντας I
Q91207,Κλεοπάτρα
Q91251,Εὐμένης
Q91293,Κλεοπάτρα
Q91327,Ἄτταλος
Q91331,Ἀριαράθης
Q91345,Κλεοπάτρα
Q91347,Πτολεμαῖος Νέος Διόνυσος Θεός Φιλοπάτωρ Θεός Φιλάδελφος
Q91403,Ἀριαράθης
Q91413,Πτολεμαῖος
Q91417,Κλεοπάτρα Θεά της Αιγύπτου
Q91453,Ἀριάμνης
Q91491,Ἀριαράθης
Q99394,Πτολεμαίος
Q99396,Πτολεμαῖος
Q99478,Δηιόκης
Q101995,Πλειόνη
Q102025,Αυτόλυκος
Q102027,Αμφιθέα
Q102044,Κασσιόπεια
Q102130,Πύρρα
Q102158,Δευκαλίων
Q102170,Αἴολος
Q102176,Ἐρεχθεύς
Q102178,Πραξιθέα
Q102180,Κέκροψ
Q102228,Πανδίων
Q102268,Ἐρεχθόνιος
Q111056,Πτολεμαίος
Q111058,Πτολεμαῖος
Q111140,Δηιόκης
Q72903,"Տիգրան Մեծ, արքան Հայաստան"
Q73047,Պտողեմեոս
Q73056,Տիգրան Առաջին
Q73212,Երվանդ
Q73224,Արտաշես Առաջին Բարեպաշտ
Q73371,Արշամ
Q73509,Շամուշ
Q78354,Արտավազդ Երկրորդ
Q87540,"Տիգրան Մեծ, արքան Հայաստան"
Q87636,Պտողեմեոս
Q87642,Տիգրան Առաջին արքան Հայաստան
Q87746,Երվանդ
Q87754,Արտաշես Առաջին Բարեպաշտ
Q87853,Արշամ
Q87945,Շամուշ
Q91175,Արտավազդ Երկրորդ
Q132711,Վահե
Q3832,Лопес Эльвира Шломо
Q34844,Лопес Эльвира Шломо
Q44114,Kinyoshi Sanjо̄
Q55515,Cартоний //
Q56471,Кламенте Лопес
Q56474,Моше Пабло
Q57835,Хуан Перес  Коронел Fernão Perez Coronel
Q57838,Лопес Эльвира Шломо
Q57841,Липи Хименс Шломо  Коронел
Q59518,Francisco  Коронел
Q67842,Борджигин
Q67848,Борджигин
Q67861,Борджигин
Q67881,Борджигин
Q67920,Борджигин
Q67963,Борджигин
Q67999,Борджигин
Q68036,Борджигин
Q68075,Борджигин
Q68117,Борджигин
Q68159,Борджигин
Q68213,БОРДЖИГЕДЕЙ-МЭРГЭН
Q68216,Борджигин
Q68267,КАЛИ-КАРЧИ
Q68318,СИМ-САУЧИ
Q68384,ЕКЭ-НИДДА
Q68453,КУДЖАМ-БОРАГУЛ
Q68510,КОРИГАР-МЭРГЭН
Q68558,ТАМАЧ
Q68591,БАТАГИ-КААН
Q68670,Гаутама
Q73937,Антіох
Q88231,Антіох
Q127128,Башкорд
Q153200,Борджигин
Q153207,Тогрул Ван хан Placeholder surname
Q153210,БАРТАН-БААТУР Placeholder surname
Q153212,КАБУЛ-ХАН Placeholder surname
Q153216,ТУМБИНЭ-КААН Борджигин
Q153221,БАЙСОНКУР Борджигин
Q153225,КАЙДУ-ХАН Борджигин
Q153230,ДУТУМ-МЭНЭН Борджигин
Q153235,БУКА Борджигин
Q153243,БОДОНЧАР Борджигин
Q153250,ДОБУН-БАЯН Борджигин
Q153258,ТОРОХОЛДЖИН-БАЯН Борджигин
Q153266,БОРДЖИГЕДЕЙ-МЭРГЭН Placeholder surname
Q153273,КАЛИ-КАРЧИ Placeholder surname
Q153277,СИМ-САУЧИ Placeholder surname
Q153281,ЕКЭ-НИДДА Placeholder surname
Q153285,КУДЖАМ-БОРАГУЛ Placeholder surname
Q153290,КОРИГАР-МЭРГЭН Placeholder surname
Q153296,ТАМАЧ Placeholder surname
Q153302,БАТАГИ-КААН Placeholder surname
Q153311,БОРТЭЧИНЭ
Q153321,АЛТАН-САНДАЛИТУ
Q153330,Парикшит Куру
Q153331,Рахула син на Буда Гаутама
Q153343,Шакьямуни Гаутама
Q153354,Махамайя Гаутама
Q153355,Гаутама King of Shakya
Q153356,Amitā Гаутама
Q153666,Борджигин?
Q153689,Lord  Борджигин
Q153704,Борджигин Esquire
